FECHA NOTIF. KFS;IMPRESORA/SERIE;O.S  DE APROB.;OBSERVACIONES;
14-08-2025;R4A2X53349;OS 4276660;;
16-08-2025;R4P8916497;OS 4278526;;
25-07-2025;WDS3X13742;OS 4257572;;
23-08-2025;R4A2X53608;OS 4281944;;
23/08/2025;R4P8916295;OS 4284448;;
27-08-2025;R4P8916502;OS 4284874;;
28-08-2025;R4P8916186;OS 4288426;;
28-08-2025;VM38Z27972;OS 4286722;;
29-08-2025;R4A2X53336;OS 4288504;     ;
09/01/2025;R4V8802384;OS 4289896;;
09/01/2025;WDS3X13746;OS 4289902;CENTRO;
09/01/2025;R4V8802447;OS 4290978;;
09/04/2025;R4A2X53582;OS 4293054;;
09/11/2025;R4V8802497;OS 4298936;;
09/11/2025;WDS3X13723;OS 4299334;;
15-09-2025;WDS3X13724;OS 4300914;;
09/12/2025;WDS3X13675;OS 4300582;;
16-09-2025;WDS3X13415;OS 4303164;;
16-09-2025;R4V8802448;OS. 4303050;;
17-09-2025;R4V8802440;OS 4303880;;
19-09-2025;R4V8802486;OS 4306170;;
19-09-2025;R4V8802495;OS 4306190;;
19-09-2025;WDS3X13750;OS. 4306014;CENTRO;
26-09-2025;WDS3X13721;OS. 4310178;;
26-09-2025;WDS3X13727;OS. 4311388;;
10/03/2025;R4V8802381;OS 4318864;;
10/07/2025;VM38Z27976;OS 4320618;;
10/07/2025;R4V8802386;OS 4320606;;
10/07/2025;R4P8916293;OS 4320818;;
10/09/2025;WDS3X13725;OS 4322376;;
10/09/2025;R4P8916483;OS 4324794;;
10/09/2025;WDS3X13495;OS 4324346;PALMIRA;
10/09/2025;R4P8916180;OS 4324372;;
10/09/2025;WDS3X13746;OS 4324386;CENTRO REPOSICION X MALO;
14-10-2025;R4P8916296;OS 4326822;;
21-10-2025;VM38Z27960;OS. 4333720;;
23-10-2025;R4V8802430;NO LLEGO LA OS;SEDE CENTRO ;
30-10-2025;R4V8802447;OS. 4340472;;
31-10-2025;WDS3X13415;OS. 4341460;;
30-10-2025;R4P8916485;OS 4342298;;
30-10-2025;R4V8802494;OS. 4342846;;
31-10-2025;R4A2X53597;OS. 4344294;;
31-10-2025;R4V8802492;OS. 4344586;;
11/04/2025;VM38Z27989;OS. 4347156;;
11/12/2025;VM38Z28080;OS. 4352466;;
13-11-2025;R4A2X53603;OS. 4355238;;
18-11-2025;WDS3X13723;OS. 4356366;;
19-11-2025;R4V8802497;OS. 4356660;;
18-11-2025;WDS3X13721;OS. 4355102;;
22/11/2025;WDS3X13728;OS. 4359686;;
24-11-2025;R4A2X53790;OS 4360440;;
24-11-2025;WDS3X13495;OS 4360826;SEDE PALMIRA;
28-11-2025;R4P8916488;OS 4366492;;
28-11-2025;R4V8802447;OS 4366968;;
28-11-2025;WDS3X13679;OS 4367404;;
12/01/2025;R4V8802355;OS 4370006;;
12/02/2025;R4V8802419;NO APLICA ;CUANDO SE TRASLADO LA IMPRESORA PARA PALMIRA DATECSA DESPACHO UN TONER ;
12/03/2025;R4P8916497;OS 4371912;;
12/04/2025;R4V8802440;NO APLICA ;NO APLICA, EN EL MOMENTO TONER AL 60 %;
12/05/2025;R4A2X53608;OS 4374806;;
12/08/2025;R4V8802420;OS 4377072;SEDE CENTRO ;
12/11/2025;R4P8916483;OS 4379162;;
12/12/2025;R4P8916502;OS 4379992;;
12/12/2025;R4V8802382;OS 4380066;NO APLICA, EN EL MOMENTO TONER AL 75 %;
12/12/2025;WDS3X13415;OS 4382006;;
15-12-2025;WDS3X13721;OS 4383246;;
17-12-2025;R4V8802430;OS 4385040;CENTRO;
18-12-2025;VM38Z28186;OS 4385650;PALMIRA;
20-12-2025;R4V8802447;OS 4387820;;
19-01-2026;R4V8802447;OS 4406360;;
24-01-2026;R4V8802440;OS 4412230;;
23-01-2026;WDS3X13719;OS 4410458;;
02/02/2026;VM38Z28179;OS 4420014;PALMIRA;
02/03/2026;R4V8802504;OS 4421074;;
02/03/2026;R4V8802447;OS 4421048;;
02/03/2026;VM38Z27749;OS 4422590;;
02/05/2026;R4V8802448;OS 4423946;;
02/05/2026;VM38Z27768;OS 4425394;;
02/10/2026;R4P8916485;NO APLICA ;TONER EN INVENTARIO ;
02/11/2026;R4P8916186;OS 4429042;;
02/11/2026;R4V8802397;OS 4428632;PALMIRA;
02/11/2026;VM38Z27867;OS 4430156;CENTRO;
02/12/2026;WDS3X13675;OS 4430920;;
13/02/2026;WDS3X13729;OS 4432540;;
16/02/2026;WDS3X13746;OS 4434404;CENTRO;
16/02/2026;R4P8916180;OS 4435562;;
23/02/2026;WDS3X13683;OS 4440440;;
24/02/2026;R4A2X53611;OS 4440542;;
25/02/2026;WDS3X13495;OS 4442672;PALMIRA;
26/02/2026;R4V8802447;OS 4443580;;
27/02/2026;R4A2X53787;OS 4444124;;
01/03/2026;WDS3X13750;OS 4446798;CENTRO;
02/03/2026;VM38Z27972;OS 4447440;;
03/03/2026;WDS3X13679;NO APLICA ;TONER EN INVENTARIO ;
04/03/2026;VM38Z28196;OS 4449496;PALMIRA;
04/03/2026;R4V8802440;NO APLICA ;TONER EN 77 %;
05/03/2026;R4V8802494;OS 4449982;;
05/03/2026;R4V8802445;OS 4450598;;
07/03/2026;WDS3X13415;OS 4453240;;
09/03/2026;R4A2X53336;OS 4453862;;
11/03/2026;R4A2X53353;OS 4455626;;
12/03/2026;R4A2X53610;OS 4457352;;
13/03/2026;WDS3X13723;OS 4458116;;
13/03/2026;R4A2X53597;OS 4459296;;
17/03/2026;R4V8802497;OS 4461490;;
17/03/2026;R4V8802381;OS 4462820;;
18/03/2026;VM38Z28188;OS 4463678;;
18/03/2026;WDS3X13728;OS 4463358;;
18/03/2026;WDS3X13677;OS  4463150;;
22/03/2026;R4P8916483;OS 4465766;;
24/03/2026;WDS3X13724;OS 4466948;;
26/03/2026;R4P8916483;NO APLICA ;DOBLE ALERTA  TONER EN INVENTARIO;VACACIONES
07/04/2026;R4V8802390;OS 4476498 ;;VACACIONES
07/04/2026;R4P8916293;NO APLICA ;;
09/04/2026;WDS3X13721;OS 4479220;;
14/04/2026;R4V8802441;OS 4483014;;
17/04/2026;WDS3X13493;OS 4486340   ;;
17/04/2026;R4V8802447;OS 4486524;;
18/04/2026;R4V8802391;OS 4487288 ;;
22/04/2026;R4P8916488;OS 4490666;;
23/04/2026;R4P8916295;OS 4491032;;
23/04/2026; VM38Z28086;OS 4490888;RESTAURANTE SANCARLO;
27/04/2026;R4V8802390;OS  4493280;;
28/04/2026;R4V8802422;OS 4493496;PALMIRA;
30/04/2026;R4V8802494;OS 4497050;;
01/05/2026;VM38Z28177;OS 4497590;PALMIRA;
05/05/2026;R4A2X53604;OS 4501132 ;;
06/05/2026;R4V8802418;OS 4501970;PALMIRA;
07/05/2026;R4V8802448;OS 4502590;;
08/05/2026;R4V8802390;OS 4503842;;
12/05/2026;VM38Z28184;OS 4506460;PALMIRA;
13/05/2026;R4V8802430;OS 4506862;CENTRO;
15/05/2026;WDS3X13675;OS 4509148;;
19/05/2026;R4A2X53598;OS 4510918;;
20/05/2026;R4P8916497;OS 4511732;;
20/05/2026;WDS3X13742;OS 4511774;;
14/05/2026;R4V8802390;OS 4512938;;
21/05/2026;R4V8802420;OS 4513612;CENTRO;
26/05/2026;R4A2X53606;OS 4516266;;
26/05/2026;R4V8802447;OS 4516386;;
27/05/2026;VM38Z27960;OS 4517524;;
28/05/2026;VM38Z28183;OS 4517954;PALMIRA;
28/05/2026;R4V8802497;OS 4518314;;
28/05/2026;R4A2X53354;OS 4518460;;
29/05/2026;VM38Z28113;OS 4518826;;
29/05/2026;R4V8802440;OS 4519454;;
29/05/2026;VM38Z27747;OS 4520136;;
01/06/2026;R4V8802445;NO APLICA ;ALERTA FALSA   TONER AL 81 EN SU MOMENTO;
02/06/2026;WDS3X13746;OS 4523172;CENTRO;
04/06/2026;R4A2X53356;OS 4524416;;
04/06/2026;WDS3X13415;OS 4524668;;
04/06/2026;WDS3X13723;OS 4525110;;
05/06/2026;R4A2X53603;OS 4525582;;
06/06/2026;R4P8916180;OS 4526790;;
10/06/2026;R4P8916488;NO APLICA ;ALERTA FALSA   TONER AL 52 EN SU MOMENTO;
10/06/2026;WDS3X13721;OS  4529384;;
11/06/2026;R4A2X53597;OS 4529936;;
11/06/2026;R4P8916488;OS 4529812 ;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
