MODELO;SERIE;AREA;TONER;CONTADOR;FECHA;RESPONSABLE;OBSERVACIONES
P3155DN;R4A2X53597;DIRECCION_FACULTAD_SALUD1_B1P2;TK-3182;6570;13/3/2024;TORO;
M3655IDN;R4P8916497;FACULTAD DE INGENIERIA;TK-3182;200129;13/3/2024;CAMACHO;
P3155DN;R4A2X53603;DIRECCION_FACULTAD_SALUD2;TK-3182;9208;14/3/2024;EDWIN;
MA5500IFX;WDS3X13415;DGI;TK-3432;6619;04/01/2024;EDWIN;
MA5500IFX;WDS3X13721;COMPRAS Y SUMINISTROS;TK-3432;7900;04/01/2024;EDWIN;
M3655IDN;R4P8916502;ASEGURAMIENTO DE LA CALIDAD;TK-3182;103050;04/02/2024;TORO;
P3045DN;VM38Z28191;CORRESPONDENCIA;TK-3162;19772;04/03/2024;TORO;
P3045DN;VM38Z27972;MICROBIOLOGIA;TK-3162;28808;04/04/2024;TORO;
MA5500IFX;WDS3X13728;FACULTAD DE SALUD;TK-3432;7000;04/04/2024;TORO;
P3045DN;VM38Z28088;CANCHAS SINTETICAS;TK-3182;;04/04/2024;TORO;
MA5500IFX;WDS3X13675;RECEPCION GESTION HUMANA;TK-3432;6372;04/08/2024;TORO;
MA5500IFX;WDS3X13723;DEPARTAMENTO JURÍDICO;TK-3432;7929;16/4/2024;TORO;
M3145IDN;R4V8802497;JARDIN SANTIAGUITOS;TK-3162;111922;22/4/2024;TORO;
M3145IDN;R4V8802448;SERVICIO MÉDICO;TK-3162;78606;23/4/2024;TORO;
MA5500IFX;WDS3X13677;SECRETARIA GENERAL;TK-3432;7300;24/4/2024;EDWIN;
M3655IDN;R4P8916483;CONTABILIDAD;TK-3182;140979;05/02/2024;TORO;
M3145IDN;R4V8802500;INSTITUTO DE IDIOMAS;TK-3162;52430;02/08/2024;VALENCIA;
M3145IDN;R4V8802496;HOSPITAL SIMULADO;TK-3162;37339;02/08/2024;VALENCIA;
M3145IDN;R4V8802447;UNIDAD DE MERCADEO;TK-3162;94383;02/09/2024;VALENCIA;
M3145IDN;R4V8802494;PREICFES;TK-3162;73474;05/11/2024;EDWIN;
P3155DN;R4A2X53608;RECREACION Y DEPORTE;TK-3182;5958;05/11/2024;EDWIN;
P3155DN;R4A2X53582;PROGRAMA DE MEDICINA;TK-3182;7024;15/5/2024;CAMACHO;
MA5500IFX;WDS3X13721;COMPRAS Y SUMINISTROS;TK-3182;22187;17-05-2024;CAMACHO;
P3155DN;R4A2X53606;DIRECCION FACULTAD DE DERECHO;TK-3182;7793;18-05-2024;CAMACHO;
M3655IDN;R4P8916186;FACULTAD CIENCIAS ECONOMICAS ;TK-3182;121112;20-05-2024;CAMACHO;
M3145IDN;R4V8802495;CELOA;TK-3162;34154;23-05-2024;CAMACHO;
P3045DN;VM38Z28188;SEC_F_COMUNICACION;TK-3162;16892;24-05-2024;EDWIN;
M3655IDN;R4P8916180;FACULTAD CIENCIAS BASICAS;TK-3182;142310;27-05-2024;EDWIN;
M3145IDN;R4V8802381;DIRECCION BIENESTAR UNIVERSITARIO;TK-3162;95468;27-05-2024;CAMACHO;
MA5500IFX;WDS3X13415;DGI;TK-3432;21420;31-05-2024;CAMACHO;
MA5500IFX;WDS3X13683;RECEPCION CLINICA ODONTOLOGICA;TK-3432;6153;31-05-2024;EDWIN;
MA5500IFX;WDS3X13683;RECEPCION CLINICA ODONTOLOGICA;TK-3432;6153;13-06-2024;CAMACHO;
MA5500IFX;WDS3X13724;GERENCIA ADMINISTRATIVA;TK-3432;7321;18-06-2024;CAMACHO;
M3655IDN;R4P8916295;FACULTAD DE HUMANIDADES;TK-3182;99503;21-06-2024;CAMACHO;
M3145IDN;R4V8802440;SERVICIOS FINANCIEROS;TK-3162;118859;24-06-2024;CAMACHO;
MA5500IFX;WDS3X13679;SECRETARIA ACADEMICA DERECHO;TK-3432;6197;25-06-2024;EDWIN;
MA5500IFX;WDS3X13727;GESTION TECNOLOGICA;TK-3432;6123;25-06-2024;CAMACHO;
M3145IDN;R4V8802447;UNIDAD DE MERCADEO;TK-3162;103045;27-06-2024;CAMACHO;
MA5500IFX;WDS3X13725;SECRETARIA ACADEMICA DE SALUD;TK-3432;5713;29-06-2024;CAMACHO;
MA5500IFX;WDS3X13723;DEPARTAMENTO JURÍDICO;TK-3432;20254;07/02/2024;CAMACHO;
M3655IDN;R4P8916488;FACULTAD DE DERECHO;TK-3182;188894;07/03/2024;CAMACHO;
P3155DN;R4A2X53597;DIRECCION FACULTAD DE SALUD I;TK-3182;26256;07/04/2024;LUIS R;
P3045DN;VM38Z27989;POSGRADOS CIENCIAS ECONOMICAS ;TK-3162;53473;07/08/2024;CAMACHO;
MA5500IFX;WDS3X13721;COMPRAS Y SUMINISTROS;TK-3182;35012;07/08/2024;CAMACHO;backup entregado
M3655IDN;R4P8916497;FACULTAD DE INGENIERIA;TK-3182;211508;07/10/2024;DIANA TORO ;
M3145IDN;R4V8802504;ACTIVOS FIJOS;TK-3162;54201;07/10/2024;DIANA TORO ;
P3045DN;VM38Z28113;DIRECCION FAC. DE EDUCACION;TK-3162;77183;07/12/2024;CAMACHO;
MA5500IFX;WDS3X13701;ALMACEN MANTENIMIENTO;TK-3432;5202;07/12/2024;LUIS R;
M3655IDN;R4P8916296;REGISTRO Y CONTROL;TK-3182;126894;19/7/2024;CAMACHO;
MA5500IFX;WDS3X13415;DGI;TK-3432;34417;19/07/2024;LUIS R;
P3155DN;R4A2X53336;DIRECCION CIENCIAS ECONOMICAS;TK-3182;8341;23/07/2024;LUIS R;
MA5500IFX;WDS3X13675;RECEPCION GESTION HUMANA;TK-3432;20010;24-07-2024;CAMACHO;
M3145IDN;R4V8802447;UNIDAD DE MERCADEO;TK-3162;111176;26-07-2024;CAMACHO;
M3655IDN;R4P8916483;CONTABILIDAD;TK-3182;158720;30-07-2024;LUIS R;
P3155DN;R4A2X53611;ALMACEN LABORATORIOS;TK-3182;5102;13-08-2024;CAMACHO;
M3655IDN;R4P8916485;FACULTAD DE EDUCACION;TK-3182;171126;21-08-2024;CAMACHO;
MA5500IFX;WDS3X13728;FACULTAD SALUD ;TK-3432;20277;21-08-2024;EDWIN;
M3145IDN;R4V8802382;GESTION CALIDAD;TK-3162;3645;21-08-2024;EDWIN;
MA5500IFX;WDS3X13721;COMPRAS Y SUMINISTROS;TK-3182;51986;21/08/2024;EDWIN;backup entregado
P3155DN;R4A2X53607;CERTIFICADOS ACADEMICOS;TK-3182;12708;21/08/2024;CAMACHO;
M3145IDN;R4V8802441;ARCHIVO CENTRAL;TK-3162;17321;26-08-2024;CAMACHO;
M3145IDN;R4V8802497;JARDIN SANTIAGUITOS;TK-3162;120911;27-08-2024;CAMACHO;
M3145IDN;R4V8802440;SERVICIOS FINANCIEROS;TK-3162;126487;27-08-2024;CAMACHO;
P3045DN;VM38Z27960;COORDINACION AMBIENTAL;TK-3162;51569;09/03/2024;CAMACHO;
P3155DN;R4A2X53790;CONTABILIDAD CERVECERIA B3P1;TK-3182;10452;09/04/2024;CAMACHO;
M3145IDN;R4V8802397;PRESTAMO MULTIFUNCIONAL;TK-3162;119245;09/04/2024;EDWIN;
MA5500IFX;WDS3X13415;DGI;TK-3432;48771;09/07/2024;CAMACHO;
M3145IDN;R4V8802498;SERVICIOS GENERALES;TK-3162;81766;09/07/2024;CAMACHO;
M3145IDN;R4V8802447;UNIDAD DE MERCADEO;TK-3162;119294;09/12/2024;LUIS R;
M3655IDN;R4P8916293;SALA DE PROFESORES;TK-3182;60183;09/12/2024;LUIS R;
M3655IDN;R4P8916186;FACULTAD CIENCIAS ECONOMICAS ;TK-3182;133417;09/12/2024;CAMACHO;
MA5500IFX;WDS3X13719;RECTORIA;TK-3432;4951;09/12/2024;CAMACHO;
MA5500IFX;WDS3X13723;DEPARTAMENTO JURÍDICO;TK-3432;35332;09/12/2024;LUIS R;
P3155DN;R4A2X53850;SECRET. ACAD. CIENCIAS ECONOMICAS;TK-3182;5846;09/12/2024;CAMACHO;
M3145IDN;R4V8802492;TECNICOS LABORALES;TK-3162;31458;17-09-2024;CAMACHO;
M3145IDN;R4V8802454;AUDITORIA INTERNA;TK-3162;68857;17-09-2024;CAMACHO;
M3145IDN;R4V8802355;DECANATURA DE COMUNICACION;TK-3162;85782;17-09-2024;LUIS R;
M3655IDN;R4P8916502;ASEGURAMIENTO DE LA CALIDAD;TK-3182;115585;20-09-2024;CAMACHO;
M3145IDN;R4V8802448;SERVICIO MÉDICO;TK-3162;86253;23-09-2024;CAMACHO;
M3145IDN;R4V8802381;BIENESTAR UNIVERSITARIO;TK-3162;102907;23-09-2024;CAMACHO;
P3045DN;VM38Z27972;MICROBIOLOGIA;TK-3162;39535;23-09-2024;CAMACHO;
M3145IDN;R4V8802494;PREICFES;TK-3162;79862;24-09-2024;CAMACHO;
MA5500IFX;WDS3X13721;COMPRAS Y SUMINISTROS;TK-3432;64194;25-09-2024;CAMACHO;backup entregado 
MA5500IFX;WDS3X13677;SECRETARIA GENERAL;TK-3432;24118;26-09-2024;CAMACHO;
M3655IDN;R4P8916180;CIENCIAS BASICAS ;TK-3182;154151;10/03/2024;CAMACHO;
M3145IDN;R4V8802386;POSGRADOS SALUD;TK-3162;64388;10/07/2024;CAMACHO;
M3655IDN;R4P8916488;FACULTAD DERECHO;TK-3182;200359;10/07/2024;EDWIN;
P3155DN;R4A2X53597;DIRECCION_FACULTAD_SALUD1_B1P2;TK-3182;46272;10/09/2024;CAMACHO;
MA5500IFX;WDS3X13415;DGI;TK-3432;61881;16-10-2024;CAMACHO;
MA5500IFX;WDS3X13675;RECEPCION GESTION HUMANA;TK-3432;32491;24-10-2024;CAMACHO;
P3155DN;R4A2X53608;RECREACION Y DEPORTE;TK-3182;18137;25-10-2024;CAMACHO;
P3155DN;R4A2X53349;VENTANILLA ;TK-3182;9349;29-10-2024;CAMACHO;
P3155DN;R4A2X53610;ICETEX;TK-3182;9968;29-10-2024;CAMACHO;
M3655IDN;R4P8916483;CONTABILIDAD;TK-3182;176258;29-10-2024;TORO;
MA5500IFX;WDS3X13742;VICE-ACADEMICA;TK-3432;6721;11/05/2024;CAMACHO;
MA5500IFX;WDS3X13721;COMPRAS Y SUMINISTROS;TK-3432;79950;18-11-2024;CAMACHO;backup entregado 
MA5500IFX;WDS3X13723;DEPARTAMENTO JURÍDICO;TK-3432;49607;21-11-2024;EDWIN;
MA5500IFX;WDS3X13415;DGI;TK-3432;75557;22-11-2024;CAMACHO;
M3145IDN;R4V8802495;CELOA;TK-3162;41557;25-11-2024;CAMACHO;
M3145IDN;R4V8802447;UNIDAD DE MERCADEO;TK-3162;126391;25-11-2024;CAMACHO;
M3655IDN;R4P8916497;FACULTAD DE INGENIERIA ;TK-3182;223143;27-11-2024;CAMACHO;
M3145IDN;R4V8802384;ARCHIVO REGISTRO Y CONTROL;TK-3162;21025;12/10/2024;CAMACHO;
M3145IDN;R4V8802440;SERVICIOS FINANCIEROS;TK-3162;135063;13-12-2024;CAMACHO;
M3145IDN;R4V8802447;UNIDAD DE MERCADEO;TK-3162;133237;13-12-2024;CAMACHO;
MA5500IFX;WDS3X13415;DGI;TK-3432;90044;13-12-2024;CAMACHO;
MA5500IFX;WDS3X13721;COMPRAS Y SUMINISTROS;TK-3432;92936;20-12-02024;CAMACHO;backup entregado
M3655idn;R4P8916483;CONTABILIDAD;TK-3182;134033;14-01-2025;JESÚS;
M3145idn;R4V8802447;UNIDAD DE MERCADEO;TK-3162;140708;15-01-2025;JESÚS;
P3155dn;R4A2X53356;SECRETARIA ACADEMICA DE EDUCACION;TK-3182;7296;23-01-2025;JESÚS;
WDS3X13729;WDS3X13729;PAGADURIA;TK-3432;20785;23-01-2025;JESÚS;
M3655idn;R4P8916488;FACULTAD DERECHO;TK-3182;213214;28-01-2025;JESÚS;
M3145idn;R4V8802447;UNIDAD DE MERCADEO;TK-3162;148165;02/04/2025;JESÚS;
MA5500IFX;WDS3X13415;DGI;TK-3432;104163;02/05/2025;CAMACHO;
P3045dn;VM38Z27768;CONTABILIDAD 2;TK-3162;23804;02/11/2025;CAMACHO;
M3655idn;R4P8916186;FACULTAD CIENCIAS ECONOMICAS;TK-3182;149485;02/12/2025;JESUS2;
MA5500ifx;WDS3X13728;FACULTAD SALUD;TK-3432;31411;02/12/2025;JESUS2;
M3145idn;R4V8802445;POSGRADOS INGENIERIA;TK-3162;79598;15/02/2025;JESÚS;
P3155dn;R4A2X53604;CAJA CLINICA ODONTOLOGICA;TK-3182;15462;17/02/2025;JESÚS;
MA5500ifx;WDS3X13683;RECEPCION CLINICA ODONTOLOGICA;TK-3432;18300;17-02-2025;CAMACHO;
P3155dn;R4A2X53787;GESTION HUMANA;TK-3182;22195;19-02-2025;CAMACHO;
MA5500IFX;WDS3X13723;DEPARTAMENTO JURÍDICO;TK-3432;63773;21-02-2025;CAMACHO;
P3045dn;VM38Z27747;SERVICIOS UNIVERSITARIOS;TK-3162;31394;24-02-2025;JESÚS;
M3145idn;R4V8802381;DIRECCION BIENESTAR UNIVERSITARIO;TK-3162;110841;25-02-2025;JESÚS;
M3145idn;R4V8802497;JARDIN SANTIAGUITOS;TK-3162;129819;25-02-2025;JESUS2;
MA5500ifx;WDS3X13700;VACUNACION;TK-3432;5091;25-02-2025;JESUS2;
M3145idn;R4V8802448;SERVICIO MÉDICO;TK-3162;93542;25-02-2025;JESUS2;
M3655idn;R4P8916295;FACULTAD COMUNICACION;TK-3182;110600;25-02-2025;JESUS2;
P3155dn;R4A2X53354;DIRECCION LABORATORIOS;TK-3182;8707;25-02-2025;JESUS2;
P3045dn;VM38Z27771;VICERRECTORÍA ACADÉMICA;TK-3162;18152;26-02-2025;JESUS2;
M3145idn;R4V8802440;SERVICIOS FINANCIEROS;TK-3162;47115;26-02-2025;JESUS2;
P3045dn;VM38Z27807;TIENDA SANTIAGUINA;TK-3162;16445;03/04/2025;JESUS2;
P3155dn;R4A2X53603;DIRECCION FACULTAD SALUD 2;TK-3182;50468;03/06/2025;JESUS2;
P3155dn;R4A2X53597;DIRECCION FACULTAD SALUD 1;TK-3182;62790;03/07/2025;CAMACHO;
MA5500ifx;WDS3X13675;RECEPCION GESTION HUMANA;TK-3432;45844;03/10/2025;CAMACHO;
P3045dn;VM38Z28113;DIRECCION FACULTAD DE EDUCACACION;TK-3162;85416;03/11/2025;CAMACHO;
P3155dn;R4A2X53606;DIRECCION FACULTAD DE DERECHO;TK-3182;23963;03/12/2025;CAMACHO;
MA5500ifx;WDS3X13725;SECRETARIA ACADEMICA DE SALUD;TK-3432;18705;14/03/2025;JESUS ;
M3145idn;R4V8802447;UNDAD DE MERCADEO;TK-3162;155918;14/03/2026;JESUS ;
M3655idn;R4P8916502;ASEGURAMIENTO DE LA CALIDAD;TK-3182;127404;14/03/2027;JESUS ;
MA5500ifx;WDS3X13727;GESTION TECNOGICA;TK-3432;18498;14/03/2028;CAMACHO;
MA5500ifx;WDS3X13724;VICERRECTORIA ADMINISRATIVA;TK-3432;21715;14/03/2029;CAMACHO;
M3655idn;R4P8916293;SALA DE PROFESORES;TK-3182;73533;18-03-2025.;CAMACHO;
M3655idn;R4P8916180;CIENCIAS BASICAS;TK-3182;166407;23-03-2025;JESUS ;
MA5500ifx;WDS3X13677;SECRETARIA GENERAL;TK-3432;40468;04/02/2025;JESUS ;
P3155dn;R4A2X53582;PROGRAMA MEDICINA;TK-3182;22634;05/02/2025;JESUS ;
M3655idn;R4P8916296;REGISTRO Y CONTROL;TK-3182;139704;05/07/2025;JESUS ;
M3655idn;R4P8916485;FACULTAD EDUCACION;TK-3182;185237;05/08/2025;JESUS ;
MA5500IFX;WDS3X13721;COMPRAS Y SUMINISTROS;TK-3432;62409;05/08/2025;JESUS ;
M3145idn;R4V8802494;PREICFES;TK-3162;34892;21/5/2025;JESUS ;
M3655idn;R4P8916483;CONTABILIDAD 2;TK-3182;213719;21/5/2025;JESUS ;
P3045dn;VM38Z27972;MICROBIOLOGIA;TK-3162;50003;21/5/2025;JESUS ;
M3145idn;R4V8802355;DECANATURA DE COMUNICACION;TK-3162;92914;22/4/2025;JESUS ;
M3145idn;R4V8802386;POSGRADOS SALUD;TK-3162;72100;29/4/2025;JESUS ;
MA5500ifx;WDS3X13415;DGI;TK-3432;117226;29/4/2025;JESUS ;
M3655idn;R4P8916483;CONTABILIDAD;TK-3182;216276;29/4/2025;STEBAN;
MA5500ifx;WDS3X13723;DEPARTAMENTO JURIDICO;TK-3432;36861;05/12/2025;JESUS ;
P3155dn;R4A2X53608;RECREACION Y DEPORTE;TK-3182;30213;13/5/2025;JESUS ;
MA5500IFX;WDS3X13721;COMPRAS Y SUMINISTROS;TK-3432;71455;15-05-2025;JESUS ;
M3655IDN;R4P8916497;FACULTAD DE INGENIERIA;TK-3182;234452;15-05-2025;CAMACHO;
M3145idn;R4V8802447;UNIDAD MERCADEO;TK-3162;70098;16-05-2025;JESUS ;
P3045dn;VM38Z27989;POSGRADOS CIENCIAS ECONOMICAS;TK-3162;62606;16-05-2025;JESUS ;
P3155dn;R4A2X53336;DIRECCION CIENCIAS ECONOMICAS;TK-3182;24312;16-05-2025;JESUS ;
MA5500ifx;WDS3X13728;FACULTAD SALUD;TK-3432;47112;21-05-2025;JESÚS;
P3045dn;VM38Z27960;COORDINACION AMBIENTAL;TK-3162;59078;21-05-2025;JESÚS;
M3655idn;R4P8916186;FACULTAD CIENCIAS ECONOMICAS;TK-3182;156827;21-05-2025;JESUS ;
M3655idn;R4P8916488;FACULTAD DE DERECHO;TK-3182;224486;27-05-2025;JESÚS;
M3145idn;R4V8802448;SERVICIO MEDICO;TK-3162;100387;27-05-2025;JESÚS;
M3145idn;R4V8802419;CONTABILIDAD3;TK-3162;33688;27-05-2025;CAMACHO;
M3145idn;R4V8802452;COORDINACIONES DE SALUD ;TK-3162;18200;29-05-2025;CAMACHO;
M3145idn;R4V8802504;ACTIVOS FIJOS;TK-3162;62088;06/10/2025;CAMACHO;
M3145idn;R4V8802396;ARCHIVO CONTABILIDAD;TK-3162;99786;06/10/2025;CAMACHO;
MA5500ifx;WDS3X13679;SECRETARIA ACADEMICA DERECHO;TK-3432;18845;06/10/2025;CAMACHO;
P3155dn;R4A2X53597;DIRECCION FACULTAD SALUD1  B1P2;TK-3182;79404;06/10/2025;CAMACHO;
M3145idn;R4V8802390;BIBLIOTECA;TK-3162;58153;06/10/2025;CAMACHO;
M3145idn;R4V8802447;UNIDAD DE MERCADEO;TK-3162;170794;16/6/2025;STEVAN;
M3145idn;R4V8802497;JARDIN SANTIAGUITOS;TK-3162;139529;24-06-2025;CAMACHO;
MA5500IFX;WDS3X13415;DGI;TK-3432;130634;24-06-2025;CAMACHO;
M3145IDN;R4V8802381;DIRECCION BIENESTAR UNIVERSITARIO;TK-3162;118704;24-06-2025;CAMACHO;
M3145IDN;R4V8802492;TECNICOS LABORALES;TK-3162;39183;25-06-2025;CAMACHO;
M3145IDN;R4V8802440;SERVICIOS FINANCIEROS;TK-3162;151908;07/01/2025;CAMACHO;
MA5500IFX;WDS3X13721;COMPRAS Y SUMINISTROS;TK-3432;135983;07/03/2025;JESUS ;SE ENTREGA BACKUP
MA5500IFX;WDS3X13675;RECEPCION GESTION HUMANA;TK-3432;58883;07/04/2025;CAMACHO;
M3145idn;R4V8802447;UNIDAD DE MERCADEO;TK-3162;178283;07/07/2025;JESUS ;
M3145idn;R4V8802447;UNIDAD DE MERCADEO;TK-3162;186241;29-07-2025;CAMACHO;
P3045dn;VM38Z28190;PLANTA CERVECERIA ;TK-3162;14061;29-07-2025;CAMACHO;
